Topic,1,2,3,4,5,6
Siege of Paris (1870–1871),Modern,Europe,Franco-Prussian War,,,
German Confederation,Modern,Europe,,,,
German Empire,Modern,Europe,,,,
German colonial empire,Modern,Europe,German Empire,,,
Grand Duchy of Finland,Modern,Europe,,,,
Russification of Finland,Modern,Europe,Grand Duchy of Finland,,,
Great Famine (Ireland),Modern,Europe,,,,
Great Purge,Modern,Europe,,,,
Greek War of Independence,Modern,Europe,,,,
Battle of Navarino,Modern,Europe,Greek War of Independence,,,
Gulag,Modern,Europe,,,,
History of the Kingdom of Italy (1861–1946),Modern,Europe,,,,
Holy Alliance,Modern,Europe,,,,
Highland Clearances,Modern,Europe,,,,
History of Spain (1700–1808),Modern,Europe,,,,
Italian Empire,Modern,Europe,,,,
Italo-Turkish War,Modern,Europe,Italian Empire,,,
Unification of Italy,Modern,Europe,,,,
July Revolution,Modern,Europe,,,,
Kingdom of Greece,Modern,Europe,,,,
Irish revolutionary period,Modern,Europe,,,,
Anglo-Irish Treaty,Modern,Europe,Irish revolutionary period,,,
Easter Rising,Modern,Europe,Irish revolutionary period,,,
Irish Civil War,Modern,Europe,Irish revolutionary period,,,
Irish War of Independence,Modern,Europe,Irish revolutionary period,,,
Napoleonic Wars,Modern,Europe,,,,
Congress of Vienna,Modern,Europe,Napoleonic Wars,,,
Continental System,Modern,Europe,Napoleonic Wars,,,
Finnish War,Modern,Europe,Napoleonic Wars,,,
French invasion of Russia,Modern,Europe,Napoleonic Wars,,,
Battle of Borodino,Modern,Europe,Napoleonic Wars,French invasion of Russia,,
Hundred Days,Modern,Europe,Napoleonic Wars,,,
Battle of Waterloo,Modern,Europe,Napoleonic Wars,Hundred Days,,
Peninsular War,Modern,Europe,Napoleonic Wars,,,
War of the Fifth Coalition,Modern,Europe,Napoleonic Wars,,,
Battle of Wagram,Modern,Europe,Napoleonic Wars,War of the Fifth Coalition,,
War of the Fourth Coalition,Modern,Europe,Napoleonic Wars,,,
Battle of Jena–Auerstedt,Modern,Europe,Napoleonic Wars,War of the Fourth Coalition,,
War of the Sixth Coalition,Modern,Europe,Napoleonic Wars,,,
Battle of Leipzig,Modern,Europe,Napoleonic Wars,War of the Sixth Coalition,,
War of the Third Coalition,Modern,Europe,Napoleonic Wars,,,
Battle of Austerlitz,Modern,Europe,Napoleonic Wars,War of the Third Coalition,,
Battle of Trafalgar,Modern,Europe,Napoleonic Wars,War of the Third Coalition,,
Ulm campaign,Modern,Europe,Napoleonic Wars,War of the Third Coalition,,
Nazi Germany,Modern,Europe,,,,
Beer Hall Putsch,Modern,Europe,Nazi Germany,,,
Gestapo,Modern,Europe,Nazi Germany,,,
Kristallnacht,Modern,Europe,Nazi Germany,,,
Nazi Party,Modern,Europe,Nazi Germany,,,
Night of the Long Knives,Modern,Europe,Nazi Germany,,,
Reichstag fire,Modern,Europe,Nazi Germany,,,
Schutzstaffel,Modern,Europe,Nazi Germany,,,
White Rose,Modern,Europe,Nazi Germany,,,
Wannsee Conference,Modern,Europe,Nazi Germany,,,
New Economic Policy,Modern,Europe,,,,
Occupation of the Baltic states,Modern,Europe,,,,
Pan-Slavism,Modern,Europe,,,,
Paris Commune,Modern,Europe,,,,
Polish–Soviet War,Modern,Europe,,,,
Battle of Warsaw (1920),Modern,Europe,Polish–Soviet War,,,
Kiev offensive (1920),Modern,Europe,Polish–Soviet War,,,
Population transfer in the Soviet Union,Modern,Europe,,,,
Revolutions of 1848,Modern,Europe,,,,
French Revolution of 1848,Modern,Europe,Revolutions of 1848,,,
German revolutions of 1848–1849,Modern,Europe,Revolutions of 1848,,,
Hungarian Revolution of 1848,Modern,Europe,Revolutions of 1848,,,
Rise of nationalism in Europe,Modern,Europe,,,,
1944 Romanian coup d'état,Modern,Europe,,,,
Russian Civil War,Modern,Europe,,,,
Idel-Ural State,Modern,Europe,Russian Civil War,,,
Kronstadt rebellion,Modern,Europe,Russian Civil War,,,
White movement,Modern,Europe,Russian Civil War,,,
Russian Empire,Modern,Europe,,,,
Russian famine of 1921–1922,Modern,Europe,,,,
Russian Revolution,Modern,Europe,,,,
Bolsheviks,Modern,Europe,Russian Revolution,,,
February Revolution,Modern,Europe,Russian Revolution,,,
Mensheviks,Modern,Europe,Russian Revolution,,,
October Revolution,Modern,Europe,Russian Revolution,,,
Russian Revolution of 1905,Modern,Europe,,,,
Russo-Turkish War (1877–1878),Modern,Europe,,,,
Sinking of the RMS Lusitania,Modern,Europe,,,,
RMS Lusitania,Modern,Europe,Sinking of the RMS Lusitania,,,
Sinking of the Titanic,Modern,Europe,,,,
Titanic,Modern,Europe,Sinking of the Titanic,,,
Spanish Civil War,Modern,Europe,,,,
Bombing of Guernica,Modern,Europe,Spanish Civil War,,,
Nationalist faction (Spanish Civil War),Modern,Europe,Spanish Civil War,,,
White Terror (Spain),Modern,Europe,Spanish Civil War,Nationalist faction (Spanish Civil War),,
Republican faction (Spanish Civil War),Modern,Europe,Spanish Civil War,,,
Red Terror (Spain),Modern,Europe,Spanish Civil War,Republican faction (Spanish Civil War),,
Soviet famine of 1930–1933,Modern,Europe,,,,
Holodomor,Modern,Europe,Soviet famine of 1930–1933,,,
Stab-in-the-back myth,Modern,Europe,,,,
Suffragette,Modern,Europe,,,,
Ukrainian War of Independence,Modern,Europe,,,,
Unification of Germany,Modern,Europe,,,,
Austro-Prussian War,Modern,Europe,Unification of Germany,,,
Battle of Königgrätz,Modern,Europe,Unification of Germany,Austro-Prussian War,,
Union between Sweden and Norway,Modern,Europe,,,,
United Kingdom of Great Britain and Ireland,Modern,Europe,,,,
Victorian era,Modern,Europe,United Kingdom of Great Britain and Ireland,,,
Weimar Republic,Modern,Europe,,,,
Kapp Putsch,Modern,Europe,Weimar Republic,,,
Argentine Civil Wars,Modern,Americas,,,,
Banana Wars,Modern,Americas,,,,
United States occupation of the Dominican Republic (1916–1924),Modern,Americas,Banana Wars,,,
United States occupation of Haiti,Modern,Americas,Banana Wars,,,
United States occupation of Nicaragua,Modern,Americas,Banana Wars,,,
Canadian Confederation,Modern,Americas,,,,
Caste War of Yucatán,Modern,Americas,,,,
Chaco War,Modern,Americas,,,,
Cisplatine War,Modern,Americas,,,,
Empire of Brazil,Modern,Americas,,,,
Independence of Brazil,Modern,Americas,Empire of Brazil,,,
Proclamation of the Republic (Brazil),Modern,Americas,Empire of Brazil,,,
1902 eruption of Mount Pelée,Modern,Americas,,,,
Federal Republic of Central America,Modern,Americas,,,,
Gran Colombia,Modern,Americas,,,,
Great Migration (African American),Modern,Americas,,,,
Halifax Explosion,Modern,Americas,,,,
Klondike Gold Rush,Modern,Americas,,,,
Mexican–American War,Modern,Americas,,,,
Mexican Revolution,Modern,Americas,,,,
Cristero War,Modern,Americas,Mexican Revolution,,,
Paraguayan War,Modern,Americas,,,,
Porfiriato,Modern,Americas,,,,
Rebellions of 1837–1838,Modern,Americas,,,,
Second Mexican Empire,Modern,Americas,,,,
Separation of Panama from Colombia,Modern,Americas,,,,
South American dreadnought race,Modern,Americas,,,,
Spanish American wars of independence,Modern,Americas,,,,
Argentine War of Independence,Modern,Americas,Spanish American wars of independence,,,
Bolívar's campaign to liberate New Granada,Modern,Americas,Spanish American wars of independence,,,
Bolivian War of Independence,Modern,Americas,Spanish American wars of independence,,,
Chilean War of Independence,Modern,Americas,Spanish American wars of independence,,,
Cuban War of Independence,Modern,Americas,Spanish American wars of independence,,,
Ecuadorian War of Independence,Modern,Americas,Spanish American wars of independence,,,
Mexican War of Independence,Modern,Americas,Spanish American wars of independence,,,
Peruvian War of Independence,Modern,Americas,Spanish American wars of independence,,,
Venezuelan War of Independence,Modern,Americas,Spanish American wars of independence,,,
Venezuelan crisis of 1902–1903,Modern,Americas,,,,
War of the Confederation,Modern,Americas,,,,
War of the Pacific,Modern,Americas,,,,
1906 San Francisco earthquake,Modern,Americas,United States,,,
Adams–Onís Treaty,Modern,Americas,United States,,,
Alaska Purchase,Modern,Americas,United States,,,
American frontier,Modern,Americas,United States,,,
California gold rush,Modern,Americas,United States,American frontier,,
Cowboy,Modern,Americas,United States,American frontier,,
Gunfight at the O.K. Corral,Modern,Americas,United States,American frontier,,
Manifest destiny,Modern,Americas,United States,American frontier,,
Oregon boundary dispute,Modern,Americas,United States,American frontier,,
Oregon Trail,Modern,Americas,United States,American frontier,,
Trail of Tears,Modern,Americas,United States,American frontier,,
American Indian Wars,Modern,Americas,United States,,,
Sioux Wars,Modern,Americas,United States,American Indian Wars,,
Battle of the Little Bighorn,Modern,Americas,United States,American Indian Wars,Sioux Wars,
Wounded Knee Massacre,Modern,Americas,United States,American Indian Wars,Sioux Wars,
California genocide,Modern,Americas,United States,American Indian Wars,,
American System (economic plan),Modern,Americas,United States,,,
Antebellum South,Modern,Americas,United States,,,
Assassination of Abraham Lincoln,Modern,Americas,United States,,,
Assassination of James A. Garfield,Modern,Americas,United States,,,
Assassination of William McKinley,Modern,Americas,United States,,,
Bank War,Modern,Americas,United States,,,
Second Bank of the United States,Modern,Americas,United States,Bank War,,
Bleeding Kansas,Modern,Americas,United States,,,
Civil rights movement (1865–1896),Modern,Americas,United States,,,
Civil rights movement (1896–1954),Modern,Americas,United States,,,
Tulsa race massacre,Modern,Americas,United States,Civil rights movement (1896–1954),,
Chinese Exclusion Act,Modern,Americas,United States,,,
Compromise of 1850,Modern,Americas,United States,,,
Dust Bowl,Modern,Americas,United States,,,
Era of Good Feelings,Modern,Americas,United States,,,
First Red Scare,Modern,Americas,United States,,,
Gilded Age,Modern,Americas,United States,,,
Great Railroad Strike of 1877,Modern,Americas,United States,,,
Harlem Renaissance,Modern,Americas,United States,,,
Haymarket affair,Modern,Americas,United States,,,
Hindenburg disaster,Modern,Americas,United States,,,
Immigration Act of 1924,Modern,Americas,United States,,,
John Brown's raid on Harpers Ferry,Modern,Americas,United States,,,
Kansas–Nebraska Act,Modern,Americas,United States,,,
Know Nothing,Modern,Americas,United States,,,
Lindbergh kidnapping,Modern,Americas,United States,,,
Louisiana Purchase,Modern,Americas,United States,,,
Lewis and Clark Expedition,Modern,Americas,United States,Louisiana Purchase,,
Lynching of Jesse Washington,Modern,Americas,United States,,,
Manhattan Project,Modern,Americas,United States,,,
Missouri Compromise,Modern,Americas,United States,,,
Monroe Doctrine,Modern,Americas,United States,,,
Nat Turner's Rebellion,Modern,Americas,United States,,,
New Deal,Modern,Americas,United States,,,
Nullification crisis,Modern,Americas,United States,,,
Panic of 1819,Modern,Americas,United States,,,
Panic of 1873,Modern,Americas,United States,,,
Panic of 1893,Modern,Americas,United States,,,
Panic of 1907,Modern,Americas,United States,,,
Progressive Era,Modern,Americas,United States,,,
Prohibition in the United States,Modern,Americas,United States,,,
Pullman Strike,Modern,Americas,United States,,,
Reconstruction era,Modern,Americas,United States,,,
Compromise of 1877,Modern,Americas,United States,Reconstruction era,,
Disfranchisement after the Reconstruction era,Modern,Americas,United States,Reconstruction era,,
Lost Cause of the Confederacy,Modern,Americas,United States,Reconstruction era,,
Reconstruction Amendments,Modern,Americas,United States,Reconstruction era,,
Scopes trial,Modern,Americas,United States,,,
Second Great Awakening,Modern,Americas,United States,,,
Seneca Falls Convention,Modern,Americas,United States,,,
Spanish–American War,Modern,Americas,United States,,,
USS Maine (1889),Modern,Americas,United States,Spanish–American War,,
Teapot Dome scandal,Modern,Americas,United States,,,
Texas annexation,Modern,Americas,United States,,,
Texas Revolution,Modern,Americas,United States,,,
Republic of Texas,Modern,Americas,United States,Texas Revolution,,
Battle of the Alamo,Modern,Americas,United States,Texas Revolution,,
Triangle Shirtwaist Factory fire,Modern,Americas,United States,,,
Underground Railroad,Modern,Americas,United States,,,
Wall Street Crash of 1929,Modern,Americas,United States,,,
War of 1812,Modern,Americas,United States,,,
Whig Party (United States),Modern,Americas,United States,,,
American Civil War,Modern,Americas,United States,American Civil War,,
Origins of the American Civil War,Modern,Americas,United States,American Civil War,American Civil War,
Confederate States of America,Modern,Americas,United States,American Civil War,,
Union (American Civil War),Modern,Americas,United States,American Civil War,,
Gettysburg Address,Modern,Americas,United States,American Civil War,,
Battle of Fort Sumter,Modern,Americas,United States,American Civil War,Battles,
First Battle of Bull Run,Modern,Americas,United States,American Civil War,Battles,
Battle of Fort Donelson,Modern,Americas,United States,American Civil War,Battles,
Battle of Hampton Roads,Modern,Americas,United States,American Civil War,Battles,
Battle of Shiloh,Modern,Americas,United States,American Civil War,Battles,
Second Battle of Bull Run,Modern,Americas,United States,American Civil War,Battles,
Battle of Antietam,Modern,Americas,United States,American Civil War,Battles,
Battle of Fredericksburg,Modern,Americas,United States,American Civil War,Battles,
Battle of Chancellorsville,Modern,Americas,United States,American Civil War,Battles,
Battle of Gettysburg,Modern,Americas,United States,American Civil War,Battles,
Siege of Vicksburg,Modern,Americas,United States,American Civil War,Battles,
Battle of Chickamauga,Modern,Americas,United States,American Civil War,Battles,
Chattanooga campaign,Modern,Americas,United States,American Civil War,Battles,
Overland Campaign,Modern,Americas,United States,American Civil War,Battles,
Sherman's March to the Sea,Modern,Americas,United States,American Civil War,Battles,
Siege of Petersburg,Modern,Americas,United States,American Civil War,Battles,
1919 Egyptian revolution,Modern,Africa,,,,
Bambatha Rebellion,Modern,Africa,,,,
Boer republics,Modern,Africa,,,,
Cape Colony,Modern,Africa,,,,
Colony of Natal,Modern,Africa,,,,
Congo Free State,Modern,Africa,,,,
Atrocities in the Congo Free State,Modern,Africa,Congo Free State,,,
French Equatorial Africa,Modern,Africa,,,,
French West Africa,Modern,Africa,,,,
French conquest of Morocco,Modern,Africa,,,,
Great Trek,Modern,Africa,,,,
Herero Wars,Modern,Africa,,,,
Herero and Nama genocide,Modern,Africa,Herero Wars,,,
Jihad of Usman dan Fodio,Modern,Africa,,,,
Mahdist State,Modern,Africa,,,,
Maji Maji Rebellion,Modern,Africa,,,,
Mfecane,Modern,Africa,,,,
Orange Free State,Modern,Africa,,,,
Rif War,Modern,Africa,,,,
Scramble for Africa,Modern,Africa,,,,
Anglo-Ashanti wars,Modern,Africa,Scramble for Africa,,,
Anglo-Egyptian War,Modern,Africa,Scramble for Africa,,,
Anglo-Zanzibar War,Modern,Africa,Scramble for Africa,,,
Anglo-Zulu War,Modern,Africa,Scramble for Africa,,,
Battle of Rorke's Drift,Modern,Africa,Scramble for Africa,Anglo-Zulu War,,
Benin Expedition of 1897,Modern,Africa,Scramble for Africa,,,
Fashoda Incident,Modern,Africa,Scramble for Africa,,,
First Boer War,Modern,Africa,Scramble for Africa,,,
First Franco-Dahomean War,Modern,Africa,Scramble for Africa,,,
First Italo-Ethiopian War,Modern,Africa,Scramble for Africa,,,
Battle of Adwa,Modern,Africa,Scramble for Africa,First Italo-Ethiopian War,,
First Matabele War,Modern,Africa,Scramble for Africa,,,
Franco-Hova Wars,Modern,Africa,Scramble for Africa,,,
French conquest of Algeria,Modern,Africa,Scramble for Africa,,,
French conquest of Tunisia,Modern,Africa,Scramble for Africa,,,
Italo-Ethiopian War of 1887–1889,Modern,Africa,Scramble for Africa,,,
Mahdist War,Modern,Africa,Scramble for Africa,,,
Second Boer War,Modern,Africa,Scramble for Africa,,,
Second Franco-Dahomean War,Modern,Africa,Scramble for Africa,,,
Second Matabele War,Modern,Africa,Scramble for Africa,,,
Second Italo-Ethiopian War,Modern,Africa,,,,
Sokoto Caliphate,Modern,Africa,,,,
South African Republic,Modern,Africa,,,,
Sultanate of Hobyo,Modern,Africa,,,,
Toucouleur Empire,Modern,Africa,,,,
Union of South Africa,Modern,Africa,,,,
Wadai War,Modern,Africa,,,,
Wassoulou Empire,Modern,Africa,,,,
Women's War,Modern,Africa,,,,
Xhosa Wars,Modern,Africa,,,,
Zulu Kingdom,Modern,Africa,,,,
Durand Line,Modern,Asia,Central Asia,,,
Great Game,Modern,Asia,Central Asia,,,
Persian Constitutional Revolution,Modern,Asia,Central Asia,,,
Russian conquest of Central Asia,Modern,Asia,Central Asia,,,
1887 Yellow River flood,Modern,Asia,East Asia,,,
1911 Revolution,Modern,Asia,East Asia,,,
1923 Great Kantō earthquake,Modern,Asia,East Asia,,,
1931 China floods,Modern,Asia,East Asia,,,
 1935 Shinchiku-Taichū earthquake,Modern,Asia,East Asia,,,
Abolition of the han system,Modern,Asia,East Asia,,,
Amur Annexation,Modern,Asia,East Asia,,,
Boxer Rebellion,Modern,Asia,East Asia,,,
Chinese Civil War,Modern,Asia,East Asia,,,
Chinese Communist Revolution,Modern,Asia,East Asia,Chinese Civil War,,
Liaoshen campaign,Modern,Asia,East Asia,Chinese Civil War,,
Long March,Modern,Asia,East Asia,Chinese Civil War,,
Donghak Peasant Revolution,Modern,Asia,East Asia,,,
Dungan Revolt (1862–1877),Modern,Asia,East Asia,,,
Empire of Japan,Modern,Asia,East Asia,,,
First Opium War,Modern,Asia,East Asia,,,
First Sino-Japanese War,Modern,Asia,East Asia,,,
Gapsin Coup,Modern,Asia,East Asia,,,
Foreign concessions in China,Modern,Asia,East Asia,,,
Greater East Asia Co-Prosperity Sphere,Modern,Asia,East Asia,,,
Jiangxi Soviet,Modern,Asia,East Asia,,,
Korea under Japanese rule,Modern,Asia,East Asia,,,
March First Movement,Modern,Asia,East Asia,Korea under Japanese rule,,
Manchukuo,Modern,Asia,East Asia,,,
Meiji Restoration,Modern,Asia,East Asia,,,
Boshin War,Modern,Asia,East Asia,Meiji Restoration,,
Meiji era,Modern,Asia,East Asia,Meiji Restoration,,
Mutual Defense Pact of the Southeastern Provinces,Modern,Asia,East Asia,,,
Perry Expedition,Modern,Asia,East Asia,,,
Republic of China (1912–1949),Modern,Asia,East Asia,,,
Russo-Japanese War,Modern,Asia,East Asia,,,
Satsuma Rebellion,Modern,Asia,East Asia,,,
Second Opium War,Modern,Asia,East Asia,,,
Second Sino-Japanese War,Modern,Asia,East Asia,,,
Japanese invasion of Manchuria,Modern,Asia,East Asia,Second Sino-Japanese War,,
Mukden incident,Modern,Asia,East Asia,Second Sino-Japanese War,Japanese invasion of Manchuria,
Japanese war crimes,Modern,Asia,East Asia,Second Sino-Japanese War,,
Comfort women,Modern,Asia,East Asia,Second Sino-Japanese War,Japanese war crimes,
Nanjing Massacre,Modern,Asia,East Asia,Second Sino-Japanese War,Japanese war crimes,
Nanjing Massacre denial,Modern,Asia,East Asia,Second Sino-Japanese War,Japanese war crimes,Nanjing Massacre
Unit 731,Modern,Asia,East Asia,Second Sino-Japanese War,Japanese war crimes,
Self-Strengthening Movement,Modern,Asia,East Asia,,,
Taiping Rebellion,Modern,Asia,East Asia,,,
Taiwan under Japanese rule,Modern,Asia,East Asia,,,
Tongzhi Restoration,Modern,Asia,East Asia,,,
Unequal treaty,Modern,Asia,East Asia,,,
Warlord Era,Modern,Asia,East Asia,,,
Tunguska event,Modern,Asia,Northern Asia,,,
Bengal Renaissance,Modern,Asia,South Asia,,,
Bengal famine of 1943,Modern,Asia,South Asia,,,
British Raj,Modern,Asia,South Asia,,,
Battle of Saragarhi,Modern,Asia,South Asia,British Raj,,
Indian Rebellion of 1857,Modern,Asia,South Asia,,,
Indian independence movement,Modern,Asia,South Asia,,,
Nawabs of Bengal,Modern,Asia,South Asia,,,
Princely state,Modern,Asia,South Asia,,,
Salt March,Modern,Asia,South Asia,,,
1815 eruption of Mount Tambora,Modern,Asia,Southeastern Asia,,,
1883 eruption of Krakatoa,Modern,Asia,Southeastern Asia,,,
Anglo-Dutch Treaty of 1824,Modern,Asia,Southeastern Asia,,,
British rule in Burma,Modern,Asia,Southeastern Asia,,,
Dutch East Indies,Modern,Asia,Southeastern Asia,,,
Franco-Thai War,Modern,Asia,Southeastern Asia,,,
French Indochina,Modern,Asia,Southeastern Asia,,,
Indonesian National Awakening,Modern,Asia,Southeastern Asia,,,
Japanese occupation of Singapore,Modern,Asia,Southeastern Asia,,,
Japanese occupation of the Philippines,Modern,Asia,Southeastern Asia,,,
Konbaung dynasty,Modern,Asia,Southeastern Asia,,,
Nguyễn dynasty,Modern,Asia,Southeastern Asia,,,
Philippine Revolution,Modern,Asia,Southeastern Asia,,,
Philippine–American War,Modern,Asia,Southeastern Asia,,,
1913 Ottoman coup d'état,Modern,Asia,Western Asia,,,
Armenian genocide,Modern,Asia,Western Asia,,,
Armenian genocide denial,Modern,Asia,Western Asia,Armenian genocide,,
Caucasian War,Modern,Asia,Western Asia,,,
Circassian genocide,Modern,Asia,Western Asia,Caucasian War,,
Omani Empire,Modern,Asia,Western Asia,,,
Partition of the Ottoman Empire,Modern,Asia,Western Asia,,,
Sayfo,Modern,Asia,Western Asia,,,
Turkish War of Independence,Modern,Asia,Western Asia,,,
Population exchange between Greece and Turkey,Modern,Asia,Western Asia,Turkish War of Independence,,
Yemeni unification,Modern,Asia,Western Asia,,,
Young Turks,Modern,Asia,Western Asia,,,
Young Turk Revolution,Modern,Asia,Western Asia,Young Turks,,
Australian frontier wars,Modern,Oceania,,,,
Black War,Modern,Oceania,,,,
British Western Pacific Territories,Modern,Oceania,,,,
Bushranger,Modern,Oceania,,,,
Colony of New Zealand,Modern,Oceania,,,,
Eureka Rebellion,Modern,Oceania,,,,
European land exploration of Australia,Modern,Oceania,,,,
Burke and Wills expedition,Modern,Oceania,European land exploration of Australia,,,
Federation of Australia,Modern,Oceania,,,,
Franco-Tahitian War,Modern,Oceania,,,,
German Samoa,Modern,Oceania,,,,
Hawaiian Kingdom,Modern,Oceania,,,,
Hawaiian Renaissance,Modern,Oceania,,,,
Hawaiian rebellions (1887–1895),Modern,Oceania,,,,
Overthrow of the Hawaiian Kingdom,Modern,Oceania,Hawaiian rebellions (1887–1895),,,
History of Australia (1788–1850),Modern,Oceania,,,,
Kingdom of Bora Bora,Modern,Oceania,,,,
Kingdom of Fiji,Modern,Oceania,,,,
Kingdom of Rarotonga,Modern,Oceania,,,,
Kingdom of Tahiti,Modern,Oceania,,,,
Mau movement,Modern,Oceania,,,,
New Zealand Company,Modern,Oceania,,,,
New Zealand Wars,Modern,Oceania,,,,
Invasion of the Waikato,Modern,Oceania,New Zealand Wars,,,
Moriori genocide,Modern,Oceania,New Zealand Wars,,,
Musket Wars,Modern,Oceania,New Zealand Wars,,,
Samoan Civil War,Modern,Oceania,,,,
Samoan crisis,Modern,Oceania,Samoan Civil War,,,
Second Samoan Civil War,Modern,Oceania,,,,
South Seas Mandate,Modern,Oceania,,,,
Treaty of Waitangi,Modern,Oceania,,,,
